tissue	ensembl	gene_symbol	clust
AOR	ENSG00000068308	OTUD5	35
AOR	ENSG00000196922	ZNF252P	35
AOR	ENSG00000198160	MIER1	35
AOR	ENSG00000168300	PCMTD1	35
AOR	ENSG00000186908	ZDHHC17	35
AOR	ENSG00000133104	SPG20	35
AOR	ENSG00000036549	ZZZ3	35
AOR	ENSG00000135241	PNPLA8	35
AOR	ENSG00000104320	NBN	35
AOR	ENSG00000254004	ZNF260	35
AOR	ENSG00000177034	MTX3	35
AOR	ENSG00000185129	PURA	35
AOR	ENSG00000005889	ZFX	35
AOR	ENSG00000198162	MAN1A2	35
AOR	ENSG00000101752	MIB1	35
AOR	ENSG00000128585	MKLN1	35
AOR	ENSG00000131263	RLIM	35
AOR	ENSG00000111615	KRR1	35
AOR	ENSG00000165417	GTF2A1	35
AOR	ENSG00000205269	TMEM170B	35
AOR	ENSG00000111727	HCFC2	35
AOR	ENSG00000171827	ZNF570	35
AOR	ENSG00000177683	THAP5	35
AOR	ENSG00000033178	UBA6	35
AOR	ENSG00000112851	ERBB2IP	35
AOR	ENSG00000113595	TRIM23	35
AOR	ENSG00000152193	RNF219	35
AOR	ENSG00000107862	GBF1	35
AOR	ENSG00000136051	KIAA1033	35
AOR	ENSG00000162980	ARL5A	35
AOR	ENSG00000087301	TXNDC16	35
AOR	ENSG00000153339	TRAPPC8	35
AOR	ENSG00000107854	TNKS2	35
AOR	ENSG00000121879	PIK3CA	35
AOR	ENSG00000124209	RAB22A	35
AOR	ENSG00000136870	ZNF189	35
AOR	ENSG00000058729	RIOK2	35
AOR	ENSG00000153827	TRIP12	35
AOR	ENSG00000175105	ZNF654	35
AOR	ENSG00000108064	TFAM	35
AOR	ENSG00000118454	ANKRD13C	35
AOR	ENSG00000165416	SUGT1	35
AOR	ENSG00000156017	CARNMT1	35
AOR	ENSG00000056586	RC3H2	35
AOR	ENSG00000129317	PUS7L	35
AOR	ENSG00000114439	BBX	35
AOR	ENSG00000163946	FAM208A	35
AOR	ENSG00000108061	SHOC2	35
AOR	ENSG00000198087	CD2AP	35
AOR	ENSG00000204186	ZDBF2	35
AOR	ENSG00000155975	VPS37A	35
AOR	ENSG00000177707	PVRL3	35
AOR	ENSG00000113441	LNPEP	35
AOR	ENSG00000124486	USP9X	35
AOR	ENSG00000129003	VPS13C	35
AOR	ENSG00000112339	HBS1L	35
AOR	ENSG00000117000	RLF	35
AOR	ENSG00000077254	USP33	35
AOR	ENSG00000102531	FNDC3A	35
AOR	ENSG00000203668	CHML	35
AOR	ENSG00000132356	PRKAA1	35
AOR	ENSG00000168116	KIAA1586	35
AOR	ENSG00000138750	NUP54	35
AOR	ENSG00000118200	CAMSAP2	35
AOR	ENSG00000071794	HLTF	35
AOR	ENSG00000161813	LARP4	35
AOR	ENSG00000113597	TRAPPC13	35
AOR	ENSG00000164944	KIAA1429	35
AOR	ENSG00000021776	AQR	35
AOR	ENSG00000011566	MAP4K3	35
AOR	ENSG00000087470	DNM1L	35
AOR	ENSG00000138767	CNOT6L	35
AOR	ENSG00000140688	C16orf58	35
AOR	ENSG00000196437	ZNF569	35
AOR	ENSG00000114520	SNX4	35
AOR	ENSG00000101972	STAG2	35
AOR	ENSG00000116750	UCHL5	35
AOR	ENSG00000074603	DPP8	35
AOR	ENSG00000197601	FAR1	35
AOR	ENSG00000009307	CSDE1	35
AOR	ENSG00000078142	PIK3C3	35
AOR	ENSG00000166266	CUL5	35
AOR	ENSG00000166225	FRS2	35
AOR	ENSG00000155313	USP25	35
AOR	ENSG00000105771	SMG9	35
AOR	ENSG00000091009	RBM27	35
AOR	ENSG00000122591	FAM126A	35
AOR	ENSG00000177932	ZNF354C	35
AOR	ENSG00000163322	FAM175A	35
AOR	ENSG00000139977	NAA30	35
AOR	ENSG00000152942	RAD17	35
AOR	ENSG00000178074	C2orf69	35
AOR	ENSG00000172869	DMXL1	35
AOR	ENSG00000004766	VPS50	35
AOR	ENSG00000169967	MAP3K2	35
AOR	ENSG00000198015	MRPL42	35
AOR	ENSG00000185728	YTHDF3	35
AOR	ENSG00000171016	PYGO1	35
AOR	ENSG00000152219	ARL14EP	35
AOR	ENSG00000088205	DDX18	35
AOR	ENSG00000138095	LRPPRC	35
AOR	ENSG00000182504	CEP97	35
AOR	ENSG00000062650	WAPL	35
AOR	ENSG00000039123	SKIV2L2	35
AOR	ENSG00000047932	GOPC	35
AOR	ENSG00000066557	LRRC40	35
AOR	ENSG00000196628	TCF4	35
AOR	ENSG00000118260	CREB1	35
AOR	ENSG00000165322	ARHGAP12	35
AOR	ENSG00000165487	MICU2	35
AOR	ENSG00000113851	CRBN	35
AOR	ENSG00000066422	ZBTB11	35
AOR	ENSG00000111647	UHRF1BP1L	35
AOR	ENSG00000164631	ZNF12	35
AOR	ENSG00000157500	APPL1	35
AOR	ENSG00000136536	MARCH7	35
AOR	ENSG00000065243	PKN2	35
AOR	ENSG00000196323	ZBTB44	35
AOR	ENSG00000134352	IL6ST	35
AOR	ENSG00000171566	PLRG1	35
AOR	ENSG00000177311	ZBTB38	35
AOR	ENSG00000164603	C7orf60	35
AOR	ENSG00000115947	ORC4	35
AOR	ENSG00000197170	PSMD12	35
AOR	ENSG00000159593	NAE1	35
AOR	ENSG00000123575	FAM199X	35
AOR	ENSG00000123983	ACSL3	35
AOR	ENSG00000153006	SREK1IP1	35
AOR	ENSG00000001629	ANKIB1	35
AOR	ENSG00000198961	PJA2	35
AOR	ENSG00000065559	MAP2K4	35
AOR	ENSG00000062194	GPBP1	35
AOR	ENSG00000182700	IGIP	35
AOR	ENSG00000126814	TRMT5	35
AOR	ENSG00000198677	TTC37	35
AOR	ENSG00000135049	AGTPBP1	35
AOR	ENSG00000085274	MYNN	35
AOR	ENSG00000104219	ZDHHC2	35
AOR	ENSG00000164463	CREBRF	35
AOR	ENSG00000092148	HECTD1	35
AOR	ENSG00000168172	HOOK3	35
AOR	ENSG00000139793	MBNL2	35
