tissue	ensembl	gene_symbol	clust
LIV	ENSG00000070785	EIF2B3	214
LIV	ENSG00000177981	ASB8	214
LIV	ENSG00000166788	SAAL1	214
LIV	ENSG00000153774	CFDP1	214
LIV	ENSG00000213593	TMX2	214
LIV	ENSG00000156253	RWDD2B	214
LIV	ENSG00000027001	MIPEP	214
LIV	ENSG00000106803	SEC61B	214
LIV	ENSG00000075785	RAB7A	214
LIV	ENSG00000175193	PARL	214
LIV	ENSG00000162961	DPY30	214
LIV	ENSG00000065427	KARS	214
LIV	ENSG00000128951	DUT	214
LIV	ENSG00000102144	PGK1	214
LIV	ENSG00000117862	TXNDC12	214
LIV	ENSG00000183605	SFXN4	214
LIV	ENSG00000126067	PSMB2	214
LIV	ENSG00000087302	C14orf166	214
LIV	ENSG00000183283	DAZAP2	214
LIV	ENSG00000120860	CCDC53	214
LIV	ENSG00000204272	LINC01420	214
LIV	ENSG00000100632	ERH	214
LIV	ENSG00000185721	DRG1	214
LIV	ENSG00000107020	PLGRKT	214
LIV	ENSG00000136810	TXN	214
LIV	ENSG00000198522	GPN1	214
LIV	ENSG00000010219	DYRK4	214
LIV	ENSG00000205155	PSENEN	214
LIV	ENSG00000151093	OXSM	214
LIV	ENSG00000128789	PSMG2	214
LIV	ENSG00000119977	TCTN3	214
LIV	ENSG00000164096	C4orf3	214
LIV	ENSG00000168958	MFF	214
LIV	ENSG00000108953	YWHAE	214
LIV	ENSG00000137210	TMEM14B	214
LIV	ENSG00000114902	SPCS1	214
LIV	ENSG00000143771	CNIH4	214
LIV	ENSG00000226950	DANCR	214
LIV	ENSG00000119013	NDUFB3	214
LIV	ENSG00000126698	DNAJC8	214
LIV	ENSG00000075336	TIMM21	214
LIV	ENSG00000165264	NDUFB6	214
LIV	ENSG00000168275	COA6	214
LIV	ENSG00000159063	ALG8	214
LIV	ENSG00000111907	TPD52L1	214
LIV	ENSG00000116209	TMEM59	214
LIV	ENSG00000232119	MCTS1	214
LIV	ENSG00000132432	SEC61G	214
LIV	ENSG00000117450	PRDX1	214
LIV	ENSG00000185104	FAF1	214
LIV	ENSG00000181610	MRPS23	214
LIV	ENSG00000076043	REXO2	214
LIV	ENSG00000138382	METTL5	214
LIV	ENSG00000068697	LAPTM4A	214
LIV	ENSG00000115446	UNC50	214
LIV	ENSG00000121022	COPS5	214
LIV	ENSG00000137767	SQRDL	214
LIV	ENSG00000121851	POLR3GL	214
LIV	ENSG00000165637	VDAC2	214
LIV	ENSG00000272047	GTF2H5	214
LIV	ENSG00000111229	ARPC3	214
LIV	ENSG00000134825	TMEM258	214
LIV	ENSG00000140307	GTF2A2	214
LIV	ENSG00000134056	MRPS36	214
LIV	ENSG00000120265	PCMT1	214
LIV	ENSG00000156976	EIF4A2	214
LIV	ENSG00000115484	CCT4	214
LIV	ENSG00000162972	C2orf47	214
LIV	ENSG00000138777	PPA2	214
LIV	ENSG00000008324	SS18L2	214
LIV	ENSG00000137720	C11orf1	214
LIV	ENSG00000179933	C14orf119	214
LIV	ENSG00000264920	RP11-6N17.4	214
LIV	ENSG00000111481	COPZ1	214
LIV	ENSG00000214274	ANG	214
LIV	ENSG00000185808	PIGP	214
LIV	ENSG00000129562	DAD1	214
LIV	ENSG00000204387	C6orf48	214
LIV	ENSG00000106399	RPA3	214
LIV	ENSG00000151500	THYN1	214
LIV	ENSG00000149196	C11orf73	214
LIV	ENSG00000100209	HSCB	214
LIV	ENSG00000265354	TIMM23	214
LIV	ENSG00000146425	DYNLT1	214
LIV	ENSG00000176261	ZBTB8OS	214
LIV	ENSG00000171174	RBKS	214
LIV	ENSG00000166946	CCNDBP1	214
LIV	ENSG00000110442	COMMD9	214
LIV	ENSG00000108384	RAD51C	214
LIV	ENSG00000065518	NDUFB4	214
LIV	ENSG00000120533	ENY2	214
LIV	ENSG00000205352	PRR13	214
LIV	ENSG00000166352	C11orf74	214
LIV	ENSG00000163584	RPL22L1	214
LIV	ENSG00000169490	TM2D2	214
LIV	ENSG00000196419	XRCC6	214
LIV	ENSG00000120697	ALG5	214
LIV	ENSG00000187118	CMC1	214
LIV	ENSG00000166295	ANAPC16	214
LIV	ENSG00000162385	MAGOH	214
LIV	ENSG00000166347	CYB5A	214
LIV	ENSG00000151131	C12orf45	214
LIV	ENSG00000143727	ACP1	214
LIV	ENSG00000119929	CUTC	214
LIV	ENSG00000243927	MRPS6	214
LIV	ENSG00000064995	TAF11	214
LIV	ENSG00000106028	SSBP1	214
LIV	ENSG00000131508	UBE2D2	214
LIV	ENSG00000135709	KIAA0513	214
LIV	ENSG00000155876	RRAGA	214
LIV	ENSG00000147224	PRPS1	214
LIV	ENSG00000170860	LSM3	214
LIV	ENSG00000250317	SMIM20	214
LIV	ENSG00000075415	SLC25A3	214
LIV	ENSG00000158042	MRPL17	214
LIV	ENSG00000129460	NGDN	214
LIV	ENSG00000117748	RPA2	214
LIV	ENSG00000170515	PA2G4	214
LIV	ENSG00000164751	PEX2	214
LIV	ENSG00000082515	MRPL22	214
LIV	ENSG00000183431	SF3A3	214
LIV	ENSG00000188612	SUMO2	214
LIV	ENSG00000164182	NDUFAF2	214
LIV	ENSG00000154723	ATP5J	214
LIV	ENSG00000115128	SF3B6	214
LIV	ENSG00000224032	EPB41L4A-AS1	214
LIV	ENSG00000118363	SPCS2	214
LIV	ENSG00000125037	EMC3	214
LIV	ENSG00000184903	IMMP2L	214
LIV	ENSG00000135900	MRPL44	214
LIV	ENSG00000184831	APOO	214
LIV	ENSG00000175581	MRPL48	214
LIV	ENSG00000278845	MRPL45	214
LIV	ENSG00000132530	XAF1	214
LIV	ENSG00000116459	ATP5F1	214
LIV	ENSG00000167699	GLOD4	214
LIV	ENSG00000241468	ATP5J2	214
LIV	ENSG00000175324	LSM1	214
LIV	ENSG00000137806	NDUFAF1	214
LIV	ENSG00000165775	FUNDC2	214
LIV	ENSG00000166797	FAM96A	214
LIV	ENSG00000166199	ALKBH3	214
LIV	ENSG00000173418	NAA20	214
LIV	ENSG00000148444	COMMD3	214
LIV	ENSG00000120333	MRPS14	214
LIV	ENSG00000123595	RAB9A	214
LIV	ENSG00000230989	HSBP1	214
LIV	ENSG00000004455	AK2	214
LIV	ENSG00000148950	IMMP1L	214
LIV	ENSG00000196262	PPIA	214
LIV	ENSG00000006757	PNPLA4	214
LIV	ENSG00000151366	NDUFC2	214
LIV	ENSG00000106554	CHCHD3	214
LIV	ENSG00000205981	DNAJC19	214
LIV	ENSG00000078668	VDAC3	214
LIV	ENSG00000164615	CAMLG	214
LIV	ENSG00000143158	MPC2	214
LIV	ENSG00000127125	PPCS	214
LIV	ENSG00000178741	COX5A	214
LIV	ENSG00000100902	PSMA6	214
LIV	ENSG00000135452	TSPAN31	214
LIV	ENSG00000108774	RAB5C	214
LIV	ENSG00000140740	UQCRC2	214
LIV	ENSG00000156831	NSMCE2	214
LIV	ENSG00000121766	ZCCHC17	214
LIV	ENSG00000170035	UBE2E3	214
LIV	ENSG00000103121	CMC2	214
LIV	ENSG00000176209	SMIM19	214
LIV	ENSG00000158019	BRE	214
LIV	ENSG00000165898	ISCA2	214
LIV	ENSG00000049541	RFC2	214
LIV	ENSG00000171530	TBCA	214
LIV	ENSG00000138614	VWA9	214
LIV	ENSG00000139131	YARS2	214
LIV	ENSG00000112335	SNX3	214
LIV	ENSG00000014641	MDH1	214
LIV	ENSG00000143106	PSMA5	214
LIV	ENSG00000111237	VPS29	214
LIV	ENSG00000111906	HDDC2	214
LIV	ENSG00000136819	C9orf78	214
LIV	ENSG00000089063	TMEM230	214
LIV	ENSG00000174021	GNG5	214
LIV	ENSG00000198721	ECI2	214
LIV	ENSG00000128654	MTX2	214
LIV	ENSG00000164167	LSM6	214
LIV	ENSG00000119718	EIF2B2	214
LIV	ENSG00000184220	CMSS1	214
LIV	ENSG00000143183	TMCO1	214
LIV	ENSG00000155368	DBI	214
LIV	ENSG00000102309	PIN4	214
LIV	ENSG00000138175	ARL3	214
LIV	ENSG00000111144	LTA4H	214
