tissue	ensembl	gene_symbol	clust
BLOOD	ENSG00000253320	AZIN1-AS1	159
BLOOD	ENSG00000130348	QRSL1	159
SF	ENSG00000281530	DGCR12	159
SKLM	ENSG00000223773	CD99P1	159
SKLM	ENSG00000226891	LINC01359	159
SKLM	ENSG00000146856	AGBL3	159
SKLM	ENSG00000130649	CYP2E1	159
SKLM	ENSG00000245532	NEAT1	159
SKLM	ENSG00000253636	RP11-531A24.5	159
SKLM	ENSG00000204682	CASC10	159
SKLM	ENSG00000244879	GABPB1-AS1	159
SKLM	ENSG00000119782	FKBP1B	159
SKLM	ENSG00000275580	RP11-295H24.4	159
SKLM	ENSG00000203709	C1orf132	159
SKLM	ENSG00000226145	KRT16P6	159
SKLM	ENSG00000274471	RP11-228M15.1	159
SKLM	ENSG00000080007	DDX43	159
SKLM	ENSG00000179406	LINC00174	159
SKLM	ENSG00000108984	MAP2K6	159
SKLM	ENSG00000272953	RP11-1275H24.2	159
SKLM	ENSG00000214954	LRRC69	159
SKLM	ENSG00000255176	AP002954.3	159
SKLM	ENSG00000260316	LA16c-306A4.2	159
SKLM	ENSG00000240207	RP11-379F4.4	159
SKLM	ENSG00000278983	RP11-426J5.3	159
SKLM	ENSG00000260910	LINC00565	159
SKLM	ENSG00000267322	SNHG22	159
SKLM	ENSG00000248019	FAM13A-AS1	159
SKLM	ENSG00000217330	SSXP10	159
SKLM	ENSG00000282164	PEG13	159
SKLM	ENSG00000238942	SNORD2	159
SKLM	ENSG00000228791	THRB-AS1	159
SKLM	ENSG00000235703	LINC00894	159
SKLM	ENSG00000127364	TAS2R4	159
SKLM	ENSG00000271993	RP11-285J16.1	159
SKLM	ENSG00000242086	LINC00969	159
SKLM	ENSG00000231731	AC010976.2	159
SKLM	ENSG00000133962	CATSPERB	159
SKLM	ENSG00000239415	AP001469.9	159
SKLM	ENSG00000255585	RP11-188C12.2	159
SKLM	ENSG00000279179	RP11-131M11.3	159
SKLM	ENSG00000230537	RP11-305L7.1	159
SKLM	ENSG00000279568	RP11-20I23.5	159
SKLM	ENSG00000273823	AC215219.2	159
SKLM	ENSG00000238193	RP11-555H23.1	159
SKLM	ENSG00000126500	FLRT1	159
SKLM	ENSG00000227719	AC006042.6	159
SKLM	ENSG00000106304	SPAM1	159
SKLM	ENSG00000268545	VN1R107P	159
SKLM	ENSG00000240086	RP11-657O9.1	159
SKLM	ENSG00000234337	RP11-297L17.6	159
SKLM	ENSG00000213856	VDAC1P2	159
VAF	ENSG00000155367	PPM1J	159
VAF	ENSG00000159348	CYB5R1	159
VAF	ENSG00000116604	MEF2D	159
VAF	ENSG00000162976	PQLC3	159
VAF	ENSG00000084764	MAPRE3	159
VAF	ENSG00000105357	MYH14	159
VAF	ENSG00000196465	MYL6B	159
VAF	ENSG00000169184	MN1	159
VAF	ENSG00000100302	RASD2	159
VAF	ENSG00000184489	PTP4A3	159
VAF	ENSG00000214022	REPIN1	159
VAF	ENSG00000171992	SYNPO	159
VAF	ENSG00000175826	CTDNEP1	159
VAF	ENSG00000197912	SPG7	159
VAF	ENSG00000188807	TMEM201	159
VAF	ENSG00000196923	PDLIM7	159
VAF	ENSG00000166401	SERPINB8	159
VAF	ENSG00000090097	PCBP4	159
VAF	ENSG00000185019	UBOX5	159
VAF	ENSG00000173442	EHBP1L1	159
VAF	ENSG00000008838	MED24	159
VAF	ENSG00000120820	GLT8D2	159
VAF	ENSG00000204463	BAG6	159
VAF	ENSG00000132361	CLUH	159
VAF	ENSG00000130940	CASZ1	159
VAF	ENSG00000077044	DGKD	159
VAF	ENSG00000129250	KIF1C	159
VAF	ENSG00000267080	ASB16-AS1	159
VAF	ENSG00000164068	RNF123	159
VAF	ENSG00000177728	TMEM94	159
VAF	ENSG00000106992	AK1	159
VAF	ENSG00000168427	KLHL30	159
VAF	ENSG00000144596	GRIP2	159
VAF	ENSG00000142453	CARM1	159
VAF	ENSG00000137216	TMEM63B	159
VAF	ENSG00000229320	KRT8P12	159
VAF	ENSG00000166016	ABTB2	159
VAF	ENSG00000104853	CLPTM1	159
VAF	ENSG00000179262	RAD23A	159
VAF	ENSG00000103264	FBXO31	159
VAF	ENSG00000174669	SLC29A2	159
VAF	ENSG00000160445	ZER1	159
VAF	ENSG00000102225	CDK16	159
VAF	ENSG00000144057	ST6GAL2	159
VAF	ENSG00000130764	LRRC47	159
VAF	ENSG00000079999	KEAP1	159
VAF	ENSG00000100239	PPP6R2	159
VAF	ENSG00000228672	PROB1	159
VAF	ENSG00000160539	PLPP7	159
VAF	ENSG00000125744	RTN2	159
VAF	ENSG00000108528	SLC25A11	159
VAF	ENSG00000105953	OGDH	159
VAF	ENSG00000236609	ZNF853	159
VAF	ENSG00000166592	RRAD	159
VAF	ENSG00000071282	LMCD1	159
VAF	ENSG00000116786	PLEKHM2	159
VAF	ENSG00000166619	BLCAP	159
VAF	ENSG00000188026	RILPL1	159
VAF	ENSG00000067225	PKM	159
VAF	ENSG00000162461	SLC25A34	159
VAF	ENSG00000149925	ALDOA	159
VAF	ENSG00000179743	FLJ37453	159
VAF	ENSG00000179314	WSCD1	159
VAF	ENSG00000160392	C19orf47	159
VAF	ENSG00000067365	METTL22	159
VAF	ENSG00000158158	CNNM4	159
VAF	ENSG00000176909	MAMSTR	159
VAF	ENSG00000125733	TRIP10	159
VAF	ENSG00000135723	FHOD1	159
VAF	ENSG00000072195	SPEG	159
VAF	ENSG00000125755	SYMPK	159
VAF	ENSG00000165795	NDRG2	159
VAF	ENSG00000068903	SIRT2	159
VAF	ENSG00000099957	P2RX6	159
VAF	ENSG00000105711	SCN1B	159
VAF	ENSG00000198925	ATG9A	159
VAF	ENSG00000157881	PANK4	159
VAF	ENSG00000013563	DNASE1L1	159
VAF	ENSG00000162869	PPP1R21	159
VAF	ENSG00000129245	FXR2	159
VAF	ENSG00000177731	FLII	159
VAF	ENSG00000124702	KLHDC3	159
VAF	ENSG00000260428	SCX	159
VAF	ENSG00000163050	ADCK3	159
VAF	ENSG00000146701	MDH2	159
VAF	ENSG00000115107	STEAP3	159
VAF	ENSG00000167393	PPP2R3B	159
VAF	ENSG00000160703	NLRX1	159
VAF	ENSG00000078061	ARAF	159
VAF	ENSG00000152137	HSPB8	159
VAF	ENSG00000235706	DICER1-AS1	159
VAF	ENSG00000103932	RPAP1	159
VAF	ENSG00000130560	UBAC1	159
VAF	ENSG00000165912	PACSIN3	159
VAF	ENSG00000137221	TJAP1	159
VAF	ENSG00000184185	KCNJ12	159
VAF	ENSG00000072062	PRKACA	159
VAF	ENSG00000197905	TEAD4	159
VAF	ENSG00000185220	PGBD2	159
VAF	ENSG00000102178	UBL4A	159
VAF	ENSG00000138867	GUCD1	159
VAF	ENSG00000115073	ACTR1B	159
VAF	ENSG00000103197	TSC2	159
VAF	ENSG00000229980	TOB1-AS1	159
VAF	ENSG00000103051	COG4	159
VAF	ENSG00000186187	ZNRF1	159
VAF	ENSG00000230555	RP11-517P14.2	159
VAF	ENSG00000003249	DBNDD1	159
VAF	ENSG00000163517	HDAC11	159
VAF	ENSG00000065029	ZNF76	159
VAF	ENSG00000148120	C9orf3	159
VAF	ENSG00000082014	SMARCD3	159
VAF	ENSG00000141542	RAB40B	159
VAF	ENSG00000103150	MLYCD	159
VAF	ENSG00000086015	MAST2	159
VAF	ENSG00000104946	TBC1D17	159
VAF	ENSG00000130005	GAMT	159
VAF	ENSG00000126091	ST3GAL3	159
VAF	ENSG00000107829	FBXW4	159
VAF	ENSG00000167693	NXN	159
VAF	ENSG00000272625	RP11-737O24.5	159
VAF	ENSG00000179364	PACS2	159
VAF	ENSG00000095321	CRAT	159
VAF	ENSG00000128591	FLNC	159
VAF	ENSG00000006704	GTF2IRD1	159
VAF	ENSG00000132819	RBM38	159
VAF	ENSG00000117408	IPO13	159
VAF	ENSG00000185761	ADAMTSL5	159
VAF	ENSG00000180758	GPR157	159
VAF	ENSG00000130600	H19	159
VAF	ENSG00000105221	AKT2	159
VAF	ENSG00000104812	GYS1	159
VAF	ENSG00000112079	STK38	159
VAF	ENSG00000108344	PSMD3	159
VAF	ENSG00000136717	BIN1	159
VAF	ENSG00000137198	GMPR	159
VAF	ENSG00000213337	ANKRD39	159
VAF	ENSG00000132613	MTSS1L	159
VAF	ENSG00000151929	BAG3	159
VAF	ENSG00000142784	WDTC1	159
VAF	ENSG00000135454	B4GALNT1	159
VAF	ENSG00000007047	MARK4	159
VAF	ENSG00000004142	POLDIP2	159
VAF	ENSG00000182175	RGMA	159
VAF	ENSG00000158828	PINK1	159
VAF	ENSG00000012211	PRICKLE3	159
VAF	ENSG00000100412	ACO2	159
VAF	ENSG00000148795	CYP17A1	159
VAF	ENSG00000069011	PITX1	159
VAF	ENSG00000135636	DYSF	159
VAF	ENSG00000198276	UCKL1	159
VAF	ENSG00000143171	RXRG	159
VAF	ENSG00000182054	IDH2	159
VAF	ENSG00000274523	WBSCR16	159
VAF	ENSG00000133315	MACROD1	159
VAF	ENSG00000107140	TESK1	159
VAF	ENSG00000188976	NOC2L	159
VAF	ENSG00000167632	TRAPPC9	159
VAF	ENSG00000091542	ALKBH5	159
VAF	ENSG00000105204	DYRK1B	159
VAF	ENSG00000143434	SEMA6C	159
VAF	ENSG00000165458	INPPL1	159
VAF	ENSG00000115694	STK25	159
VAF	ENSG00000147912	FBXO10	159
VAF	ENSG00000100324	TAB1	159
VAF	ENSG00000131067	GGT7	159
VAF	ENSG00000188677	PARVB	159
VAF	ENSG00000274070	GATSL2	159
VAF	ENSG00000141401	IMPA2	159
VAF	ENSG00000172046	USP19	159
VAF	ENSG00000179922	ZNF784	159
VAF	ENSG00000108509	CAMTA2	159
VAF	ENSG00000165688	PMPCA	159
VAF	ENSG00000143365	RORC	159
VAF	ENSG00000104805	NUCB1	159
VAF	ENSG00000169299	PGM2	159
VAF	ENSG00000099875	MKNK2	159
VAF	ENSG00000132612	VPS4A	159
VAF	ENSG00000125648	SLC25A23	159
VAF	ENSG00000188130	MAPK12	159
VAF	ENSG00000135924	DNAJB2	159
VAF	ENSG00000198892	SHISA4	159
VAF	ENSG00000108840	HDAC5	159
VAF	ENSG00000168890	TMEM150A	159
VAF	ENSG00000148308	GTF3C5	159
VAF	ENSG00000180104	EXOC3	159
VAF	ENSG00000161558	TMEM143	159
VAF	ENSG00000130734	ATG4D	159
VAF	ENSG00000186350	RXRA	159
VAF	ENSG00000204396	VWA7	159
VAF	ENSG00000175262	C1orf127	159
VAF	ENSG00000207733	MIR637	159
VAF	ENSG00000187595	ZNF385C	159
VAF	ENSG00000267480	RP11-703I16.1	159
VAF	ENSG00000259881	RP11-830F9.5	159
VAF	ENSG00000233411	RP11-104L21.2	159
VAF	ENSG00000186603	HPDL	159
VAF	ENSG00000188322	SBK1	159
VAF	ENSG00000228232	GAPDHP1	159
VAF	ENSG00000205560	CPT1B	159
VAF	ENSG00000167311	ART5	159
VAF	ENSG00000172828	CES3	159
VAF	ENSG00000184058	TBX1	159
VAF	ENSG00000188176	SMTNL2	159
VAF	ENSG00000158008	EXTL1	159
VAF	ENSG00000173714	WFIKKN2	159
VAF	ENSG00000250451	HOXC-AS1	159
VAF	ENSG00000223802	CERS1	159
