ensembl	tissue	gene	P	FDR
ENSG00000177030	BLOOD	DEAF1	2.03E-304	3.53E-304
ENSG00000205250	BLOOD	E2F4	2.03E-304	3.53E-304
ENSG00000198517	BLOOD	MAFK	2.03E-304	3.53E-304
ENSG00000123933	BLOOD	MXD4	2.03E-304	3.53E-304
ENSG00000071564	BLOOD	TCF3	2.03E-304	3.53E-304
ENSG00000184436	BLOOD	THAP7	2.03E-304	3.53E-304
ENSG00000160948	BLOOD	VPS28	2.03E-304	3.53E-304
ENSG00000099800	BLOOD	TIMM13	8.03E-122	1.17E-121
ENSG00000100092	BLOOD	SH3BP1	1.55E-69	2.07E-69
ENSG00000069424	BLOOD	KCNAB2	8.74E-68	1.16E-67
ENSG00000161618	BLOOD	ALDH16A1	1.65E-35	2.00E-35
ENSG00000108509	BLOOD	CAMTA2	2.57E-11	2.82E-11
ENSG00000180155	BLOOD	LYNX1	4.50E-08	4.80E-08
ENSG00000108591	BLOOD	DRG2	7.51E-07	7.96E-07
ENSG00000064961	BLOOD	HMG20B	5.8842E-06	6.1862E-06
ENSG00000123358	BLOOD	NR4A1	0.33542	0.33639
