tissue	ensembl	gene_symbol	clust
MAM	ENSG00000224699	LAMTOR5-AS1	101
MAM	ENSG00000234886	MTND5P26	101
MAM	ENSG00000261161	RP11-58A18.1	101
MAM	ENSG00000254469	RP11-849H4.2	101
MAM	ENSG00000212125	TAS2R15P	101
MAM	ENSG00000280166	RP11-354E23.3	101
MAM	ENSG00000253516	HMGB1P41	101
MAM	ENSG00000260855	RP11-439E19.10	101
MAM	ENSG00000100201	DDX17	101
MAM	ENSG00000243107	AC000120.7	101
MAM	ENSG00000279891	FLJ42393	101
MAM	ENSG00000223704	LINC01422	101
MAM	ENSG00000114021	NIT2	101
MAM	ENSG00000228782	CTD-2026D20.3	101
MAM	ENSG00000198590	C3orf35	101
MAM	ENSG00000279425	CTD-2017D11.2	101
MAM	ENSG00000281026	N4BP2L2-IT2	101
MAM	ENSG00000279608	RP11-182N22.9	101
MAM	ENSG00000223773	CD99P1	101
MAM	ENSG00000237406	NDUFA9P1	101
MAM	ENSG00000279311	RP11-170K4.2	101
MAM	ENSG00000259924	RP11-16E23.4	101
MAM	ENSG00000218596	RP11-2J18.1	101
MAM	ENSG00000261098	RP11-819C21.1	101
MAM	ENSG00000278897	AC020951.1	101
MAM	ENSG00000168014	C2CD3	101
MAM	ENSG00000188206	HNRNPU-AS1	101
MAM	ENSG00000236977	ANKRD44-IT1	101
MAM	ENSG00000230590	FTX	101
MAM	ENSG00000108474	PIGL	101
MAM	ENSG00000281195	ZNF638-IT1	101
MAM	ENSG00000213659	RSU1P3	101
MAM	ENSG00000243398	RN7SL141P	101
MAM	ENSG00000247809	NR2F2-AS1	101
MAM	ENSG00000226891	LINC01359	101
MAM	ENSG00000168038	ULK4	101
MAM	ENSG00000231721	LINC-PINT	101
MAM	ENSG00000227953	LINC01341	101
MAM	ENSG00000253873	PCDHGA11	101
MAM	ENSG00000212126	TAS2R50	101
MAM	ENSG00000187762	HSPE1P11	101
MAM	ENSG00000175414	ARL10	101
MAM	ENSG00000233012	HDAC1P2	101
MAM	ENSG00000235834	RP1-60N8.1	101
MAM	ENSG00000235619	RPL36AP33	101
MAM	ENSG00000233061	TTLL7-IT1	101
MAM	ENSG00000236576	RP11-22B10.3	101
MAM	ENSG00000279894	GHc-857G6.7	101
MAM	ENSG00000265727	RN7SL648P	101
MAM	ENSG00000224895	VPS26BP1	101
MAM	ENSG00000245532	NEAT1	101
MAM	ENSG00000203737	GPR52	101
MAM	ENSG00000274421	RP11-386J22.3	101
MAM	ENSG00000213918	DNASE1	101
MAM	ENSG00000233716	AC074367.1	101
MAM	ENSG00000258461	RP11-164J13.1	101
MAM	ENSG00000272983	RP11-508N22.12	101
MAM	ENSG00000248483	POU5F2	101
MAM	ENSG00000204623	ZNRD1-AS1	101
MAM	ENSG00000225014	KCTD9P1	101
MAM	ENSG00000233237	LINC00472	101
MAM	ENSG00000280291	RP11-759A24.2	101
MAM	ENSG00000137817	PARP6	101
MAM	ENSG00000260816	RP11-319G9.3	101
MAM	ENSG00000139631	CSAD	101
MAM	ENSG00000234062	RP11-308D16.2	101
MAM	ENSG00000261544	RP11-16E23.3	101
MAM	ENSG00000227560	RP11-139K1.2	101
