ensembl	tissue	gene	P	FDR
ENSG00000135164	MAM	DMTF1	2.03E-304	3.53E-304
ENSG00000166432	MAM	ZMAT1	2.03E-304	3.53E-304
ENSG00000256223	MAM	ZNF10	2.03E-304	3.53E-304
ENSG00000152926	MAM	ZNF117	2.03E-304	3.53E-304
ENSG00000197008	MAM	ZNF138	2.03E-304	3.53E-304
ENSG00000198105	MAM	ZNF248	2.03E-304	3.53E-304
ENSG00000196705	MAM	ZNF431	2.03E-304	3.53E-304
ENSG00000081665	MAM	ZNF506	2.03E-304	3.53E-304
ENSG00000182903	MAM	ZNF721	2.03E-304	3.53E-304
ENSG00000167766	MAM	ZNF83	2.03E-304	3.53E-304
ENSG00000196605	MAM	ZNF846	2.03E-304	3.53E-304
ENSG00000214029	MAM	ZNF891	2.03E-304	3.53E-304
ENSG00000107175	MAM	CREB3	1.10E-85	1.52E-85
ENSG00000188906	MAM	LRRK2	1.19E-59	1.55E-59
ENSG00000185278	MAM	ZBTB37	3.86E-51	4.93E-51
ENSG00000238105	MAM	GOLGA2P5	7.27E-24	8.48E-24
ENSG00000257337	MAM	RP11-983P16.4	0.0022117	0.0022698
ENSG00000196268	MAM	ZNF493	0.012365	0.012562
ENSG00000178952	MAM	TUFM	0.06316	0.06376
ENSG00000143458	MAM	GABPB2	0.090129	0.090864
