ensembl	tissue	gene	P	FDR
ENSG00000265787	LIV	CYP4F35P	2.03E-304	3.53E-304
ENSG00000211638	LIV	IGLV8-61	2.03E-304	3.53E-304
ENSG00000136573	SF	BLK	2.03E-304	3.53E-304
ENSG00000099958	SF	DERL3	2.03E-304	3.53E-304
ENSG00000211965	SF	IGHV3-49	2.03E-304	3.53E-304
ENSG00000211959	SF	IGHV4-39	2.03E-304	3.53E-304
ENSG00000211642	SF	IGLV10-54	2.03E-304	3.53E-304
ENSG00000211638	SF	IGLV8-61	2.03E-304	3.53E-304
ENSG00000110777	SF	POU2AF1	2.03E-304	3.53E-304
ENSG00000211638	VAF	IGLV8-61	2.03E-304	3.53E-304
ENSG00000260633	LIV	RP11-375I20.6	3.83E-131	5.63E-131
ENSG00000188511	LIV	C22orf34	2.46E-128	3.61E-128
ENSG00000160870	LIV	CYP3A7	2.86E-125	4.17E-125
ENSG00000250565	LIV	ATP6V1E2	4.09E-119	5.91E-119
ENSG00000228852	LIV	RP11-57H12.5	5.72E-103	8.10E-103
ENSG00000166415	MAM	WDR72	1.76E-102	2.50E-102
ENSG00000241015	LIV	TPM3P9	2.95E-99	4.17E-99
ENSG00000233609	LIV	RP11-62H7.2	5.69E-99	8.02E-99
