tissue	ensembl	gene_symbol	clust
LIV	ENSG00000187210	GCNT1	3
LIV	ENSG00000267480	RP11-703I16.1	3
MAM	ENSG00000136826	KLF4	3
MAM	ENSG00000162771	FAM71A	3
MAM	ENSG00000160888	IER2	3
MAM	ENSG00000155090	KLF10	3
MAM	ENSG00000267262	CTC-232P5.3	3
MAM	ENSG00000107372	ZFAND5	3
MAM	ENSG00000138166	DUSP5	3
MAM	ENSG00000255400	RP13-631K18.5	3
MAM	ENSG00000276070	CCL4L2	3
MAM	ENSG00000158859	ADAMTS4	3
MAM	ENSG00000232810	TNF	3
MAM	ENSG00000158050	DUSP2	3
MAM	ENSG00000179388	EGR3	3
MAM	ENSG00000137331	IER3	3
MAM	ENSG00000228950	AC023137.2	3
MAM	ENSG00000112149	CD83	3
MAM	ENSG00000170345	FOS	3
MAM	ENSG00000184557	SOCS3	3
MAM	ENSG00000128016	ZFP36	3
MAM	ENSG00000118515	SGK1	3
MAM	ENSG00000197019	SERTAD1	3
MAM	ENSG00000153234	NR4A2	3
MAM	ENSG00000279637	RP11-196B3.1	3
MAM	ENSG00000275302	CCL4	3
MAM	ENSG00000277632	CCL3	3
MAM	ENSG00000119508	NR4A3	3
MAM	ENSG00000169429	CXCL8	3
MAM	ENSG00000267519	CTD-3252C9.4	3
MAM	ENSG00000199004	MIR21	3
MAM	ENSG00000158615	PPP1R15B	3
MAM	ENSG00000138135	CH25H	3
MAM	ENSG00000125538	IL1B	3
MAM	ENSG00000123358	NR4A1	3
MAM	ENSG00000090104	RGS1	3
MAM	ENSG00000120129	DUSP1	3
MAM	ENSG00000273320	RP11-22N19.2	3
MAM	ENSG00000270640	RP11-373D23.2	3
MAM	ENSG00000173334	TRIB1	3
MAM	ENSG00000139318	DUSP6	3
MAM	ENSG00000116514	RNF19B	3
MAM	ENSG00000205502	C2CD4B	3
MAM	ENSG00000122877	EGR2	3
MAM	ENSG00000276107	CTD-2033D15.2	3
MAM	ENSG00000113070	HBEGF	3
MAM	ENSG00000143333	RGS16	3
MAM	ENSG00000081041	CXCL2	3
MAM	ENSG00000270933	CTD-2227E11.1	3
MAM	ENSG00000171174	RBKS	3
MAM	ENSG00000277986	U4	3
MAM	ENSG00000130522	JUND	3
MAM	ENSG00000143878	RHOB	3
MAM	ENSG00000087074	PPP1R15A	3
MAM	ENSG00000276085	CCL3L3	3
MAM	ENSG00000276797	MIR24-2	3
MAM	ENSG00000207808	MIR27A	3
MAM	ENSG00000125740	FOSB	3
MAM	ENSG00000144655	CSRNP1	3
MAM	ENSG00000099985	OSM	3
MAM	ENSG00000133639	BTG1	3
MAM	ENSG00000173846	PLK3	3
MAM	ENSG00000260526	RP11-73K9.2	3
MAM	ENSG00000144802	NFKBIZ	3
MAM	ENSG00000162772	ATF3	3
MAM	ENSG00000221869	CEBPD	3
MAM	ENSG00000204389	HSPA1A	3
MAM	ENSG00000120738	EGR1	3
MAM	ENSG00000141682	PMAIP1	3
MAM	ENSG00000073756	PTGS2	3
MAM	ENSG00000271918	CTD-2287O16.5	3
MAM	ENSG00000163734	CXCL3	3
MAM	ENSG00000099860	GADD45B	3
MAM	ENSG00000148339	SLC25A25	3
MAM	ENSG00000108700	CCL8	3
MAM	ENSG00000204388	HSPA1B	3
MAM	ENSG00000124762	CDKN1A	3
MAM	ENSG00000141232	TOB1	3
MAM	ENSG00000007908	SELE	3
MAM	ENSG00000154734	ADAMTS1	3
MAM	ENSG00000159388	BTG2	3
MAM	ENSG00000186594	MIR22HG	3
MAM	ENSG00000207980	MIR23A	3
MAM	ENSG00000143384	MCL1	3
MAM	ENSG00000075426	FOSL2	3
MAM	ENSG00000138670	RASGEF1B	3
MAM	ENSG00000142871	CYR61	3
MAM	ENSG00000107968	MAP3K8	3
MAM	ENSG00000127528	KLF2	3
MAM	ENSG00000120337	TNFSF18	3
MAM	ENSG00000227896	RP11-77P6.2	3
MAM	ENSG00000184588	PDE4B	3
MAM	ENSG00000187479	C11orf96	3
MAM	ENSG00000134107	BHLHE40	3
MAM	ENSG00000110848	CD69	3
MAM	ENSG00000264772	RP11-186B7.4	3
MAM	ENSG00000132002	DNAJB1	3
MAM	ENSG00000060138	YBX3	3
MAM	ENSG00000171223	JUNB	3
MAM	ENSG00000161960	EIF4A1	3
MAM	ENSG00000167604	NFKBID	3
MAM	ENSG00000114315	HES1	3
MAM	ENSG00000108691	CCL2	3
MAM	ENSG00000204569	PPP1R10	3
MAM	ENSG00000162783	IER5	3
MAM	ENSG00000259884	RP11-1100L3.8	3
MAM	ENSG00000260859	RP11-254F19.2	3
MAM	ENSG00000177606	JUN	3
MAM	ENSG00000261026	CTD-3247F14.2	3
MAM	ENSG00000136244	IL6	3
MAM	ENSG00000059804	SLC2A3	3
MAM	ENSG00000259687	LINC01220	3
MAM	ENSG00000264739	RP11-138I1.2	3
MAM	ENSG00000182950	ODF3L1	3
SKLM	ENSG00000267498	CTB-32O4.2	3
